English,Japanese
wake,目が覚める・～を起こす
wash,洗う
brush,磨く・ブラシをかける
shave,ひげをそる
dress,服を着る
comb,髪をかす
mirror,鏡
towel,タオル
cook,料理する
clean,掃除する
sweep,掃く
dust,ほこりを払う・ほこり
iron,アイロンをかける・鉄
laundry,洗濯物
kitchen,台所
fridge,冷蔵庫
taste,味がする・～を味わう
smell,においがする・～のにおいをかぐ
delicious,美味しい
sweet,甘い
sour,酸っぱい
bitter,苦い
spicy,辛い
salty,塩辛い
ride,～に乗る
drive,運転する
walk,歩く
run,走る
hurry,急ぐ
stop,止まる・～を止める
arrive,到着する
leave,出発する・～を去る・～を残す
buy,買う
sell,売る
pay,支払う
spend,～を費やす
cost,～（費用）がかかる
cheap,安い
expensive,高い
price,価格
travel,旅行する
camp,キャンプする
fish,釣りをする・魚
climb,登る
dance,踊る
sing,歌う
hobby,趣味
instrument,楽器・道具
play,競技をする・遊ぶ
win,勝つ
lose,負ける・～を失う
score,得点
stadium,スタジアム
player,選手
team,チーム
fan,ファン
hurt,痛む・～を傷つける
cough,せきが出る・せき
sneeze,くしゃみをする・くしゃみ
bleed,出血する
dizzy,めまいがする
healthy,健康な
strong,強い
weak,弱い
see,見える・～を見る
look,見える・～を見る
watch,～を注意して見る
hear,聞こえる
listen,～を聴く
feel,感じる
touch,～に触れる
notice,～に気がつく
call,～を呼ぶ・電話する
write,書く
read,読む
talk,話す
shout,叫ぶ
whisper,ささやく
message,メッセージ
letter,手紙
sit,座る
stand,立つ
lie,横たわる・嘘をつく
sleep,眠る
rest,休む・残り
laugh,笑う
smile,ほほえむ
cry,泣く・叫ぶ
room,部屋・空間
bedroom,寝室
bathroom,浴室・トイレ
floor,床・階
wall,壁
window,窓
door,戸・ドア
stairs,階段
furniture,家具
desk,机
chair,椅子
bed,ベッド
shelf,棚
lamp,ランプ・灯火
clock,時計
curtain,カーテン
